Corinthians,GolCorinthians ,vs,GolAdv,ADV,Corinthians_Vitoria
CORINTHIANS,0,versus,2,VASCO DA GAMA,0
CORINTHIANS,0,versus,3,CRUZEIRO,0
CORINTHIANS,3,versus,2,VITÓRIA,1
CORINTHIANS,0,versus,2,PALMEIRAS,0
CORINTHIANS,1,versus,1,CUIABÁ,0
CORINTHIANS,1,versus,1,ATHLETICO-PR,0
CORINTHIANS,0,versus,1,INTERNACIONAL,0
CORINTHIANS,2,versus,2,SÃO PAULO,0
CORINTHIANS,2,versus,2,ATLÉTICO-GO,0
CORINTHIANS,0,versus,1,BOTAFOGO,0
CORINTHIANS,3,versus,0,RACING,1
CORINTHIANS,2,versus,1,AMÉRICA-RN,1
CORINTHIANS,4,versus,0,ARGENTINOS JUNIORS,1
CORINTHIANS,0,versus,2,FLAMENGO,0
CORINTHIANS,2,versus,0,NACIONAL-PAR,1
CORINTHIANS,0,versus,0,FORTALEZA,0
CORINTHIANS,2,versus,1,AMÉRICA-RN,1
CORINTHIANS,3,versus,0,FLUMINENSE,1
CORINTHIANS,0,versus,1,ARGENTINOS JUNIORS,0
CORINTHIANS,0,versus,1,RED BULL BRAGANTINO,0
CORINTHIANS,0,versus,2,JUVENTUDE,0
CORINTHIANS,0,versus,0,ATLÉTICO-MG,0
CORINTHIANS,4,versus,0,NACIONAL-PAR,1
CORINTHIANS,1,versus,1,RACING,0
CORINTHIANS,3,versus,0,LONDRINA,1
CORINTHIANS,2,versus,0,SÃO BERNARDO FC,1
CORINTHIANS,0,versus,0,ÁGUA SANTA,0
CORINTHIANS,3,versus,2,SANTO ANDRÉ,1
CORINTHIANS,0,versus,1,PONTE PRETA,0
CORINTHIANS,3,versus,0,CIANORTE,1
CORINTHIANS,2,versus,2,PALMEIRAS,0
CORINTHIANS,4,versus,1,BOTAFOGO-SP,1
CORINTHIANS,2,versus,0,PORTUGUESA,1
CORINTHIANS,0,versus,1,SANTOS,0
CORINTHIANS,1,versus,3,NOVORIZONTINO,0
CORINTHIANS,1,versus,2,SÃO PAULO,0
CORINTHIANS,0,versus,1,SÃO BERNARDO FC,0
CORINTHIANS,0,versus,1,ITUANO,0
CORINTHIANS,1,versus,0,GUARANI,1
CORINTHIANS,2,versus,0,CORITIBA,1
CORINTHIANS,1,versus,2,INTERNACIONAL,0
CORINTHIANS,4,versus,2,VASCO DA GAMA,1
CORINTHIANS,1,versus,5,BAHIA,0
CORINTHIANS,1,versus,0,GRÊMIO,1
CORINTHIANS,1,versus,1,ATLÉTICO-MG,0
CORINTHIANS,0,versus,1,RED BULL BRAGANTINO,0
CORINTHIANS,1,versus,0,ATHLETICO-PR,1
CORINTHIANS,1,versus,1,SANTOS,0
CORINTHIANS,1,versus,0,CUIABÁ,1
CORINTHIANS,1,versus,1,AMÉRICA-MG,0
CORINTHIANS,3,versus,3,FLUMINENSE,0
CORINTHIANS,1,versus,1,FLAMENGO,0
CORINTHIANS,0,versus,2,FORTALEZA,0
CORINTHIANS,1,versus,2,SÃO PAULO,0
CORINTHIANS,1,versus,1,FORTALEZA,0
CORINTHIANS,1,versus,0,BOTAFOGO,1
CORINTHIANS,4,versus,4,GRÊMIO,0
CORINTHIANS,1,versus,2,FORTALEZA,0
CORINTHIANS,0,versus,0,PALMEIRAS,0
CORINTHIANS,0,versus,1,ESTUDIANTES,0
CORINTHIANS,1,versus,1,GOIÁS,0
CORINTHIANS,1,versus,0,ESTUDIANTES,1
CORINTHIANS,1,versus,1,CRUZEIRO,0
CORINTHIANS,0,versus,2,SÃO PAULO,0
CORINTHIANS,3,versus,1,CORITIBA,1
CORINTHIANS,0,versus,0,NEWELLS OLD BOYS,0
CORINTHIANS,2,versus,2,INTERNACIONAL,0
CORINTHIANS,2,versus,1,NEWELLS OLD BOYS,1
CORINTHIANS,3,versus,1,VASCO DA GAMA,1
CORINTHIANS,2,versus,1,SÃO PAULO,1
CORINTHIANS,0,versus,0,BAHIA,0
CORINTHIANS,2,versus,1,UNIVERSITARIO DE DEPORTES,1
CORINTHIANS,3,versus,2,AMÉRICA-MG,1
CORINTHIANS,1,versus,0,UNIVERSITARIO DE DEPORTES,1
CORINTHIANS,1,versus,0,ATLÉTICO-MG,1
CORINTHIANS,0,versus,1,AMÉRICA-MG,0
CORINTHIANS,0,versus,1,RED BULL BRAGANTINO,0
CORINTHIANS,3,versus,0,LIVERPOOL,1
CORINTHIANS,0,versus,1,ATHLETICO-PR,0
CORINTHIANS,2,versus,0,SANTOS,1
CORINTHIANS,1,versus,1,CUIABÁ,0
CORINTHIANS,0,versus,3,INDEPENDIENTE DEL VALLE,0
CORINTHIANS,0,versus,2,AMÉRICA-MG,0
CORINTHIANS,2,versus,0,ATLÉTICO-MG,1
CORINTHIANS,2,versus,0,FLUMINENSE,1
CORINTHIANS,0,versus,0,ARGENTINOS JUNIORS,0
CORINTHIANS,0,versus,1,FLAMENGO,0
CORINTHIANS,0,versus,2,ATLÉTICO-MG,0
CORINTHIANS,1,versus,1,SÃO PAULO,0
CORINTHIANS,0,versus,3,BOTAFOGO,0
CORINTHIANS,1,versus,1,FORTALEZA,0
CORINTHIANS,1,versus,2,INDEPENDIENTE DEL VALLE,0
CORINTHIANS,1,versus,2,PALMEIRAS,0
CORINTHIANS,2,versus,0,REMO,1
CORINTHIANS,1,versus,3,GOIÁS,0
CORINTHIANS,0,versus,1,ARGENTINOS JUNIORS,0
CORINTHIANS,2,versus,1,CRUZEIRO,1
CORINTHIANS,0,versus,2,REMO,0
CORINTHIANS,3,versus,0,LIVERPOOL,1
CORINTHIANS,1,versus,1,ITUANO,0
CORINTHIANS,3,versus,1,SANTO ANDRÉ,1
CORINTHIANS,2,versus,2,SANTOS,0
CORINTHIANS,3,versus,0,MIRASSOL,1
CORINTHIANS,2,versus,2,PALMEIRAS,0
CORINTHIANS,0,versus,0,PORTUGUESA,0
CORINTHIANS,0,versus,2,SÃO BERNARDO FC,0
CORINTHIANS,2,versus,0,BOTAFOGO-SP,1
CORINTHIANS,2,versus,1,SÃO PAULO,1
CORINTHIANS,2,versus,1,GUARANI,1
CORINTHIANS,0,versus,0,INTER DE LIMEIRA,0
CORINTHIANS,3,versus,0,ÁGUA SANTA,1
CORINTHIANS,0,versus,1,RED BULL BRAGANTINO,0
CORINTHIANS,0,versus,1,ATLÉTICO-MG,0
CORINTHIANS,2,versus,2,CORITIBA,0
CORINTHIANS,1,versus,0,CEARÁ,1
CORINTHIANS,2,versus,1,FLAMENGO,1
