Corinthians,GolCorinthians ,vs,GolAdv,ADV,Corinthians_Vitoria
CORINTHIANS,,versus,,VASCO DA GAMA,
CORINTHIANS,,versus,,CRUZEIRO,
CORINTHIANS,,versus,,VITÓRIA,
CORINTHIANS,,versus,,PALMEIRAS,
CORINTHIANS,,versus,,CUIABÁ,
CORINTHIANS,,versus,,ATHLETICO-PR,
CORINTHIANS,,versus,,INTERNACIONAL,
CORINTHIANS,,versus,,SÃO PAULO,
CORINTHIANS,,versus,,ATLÉTICO-GO,
CORINTHIANS,,versus,,BOTAFOGO,
CORINTHIANS,,versus,,RACING,
CORINTHIANS,,versus,,AMÉRICA-RN,
CORINTHIANS,,versus,,ARGENTINOS JUNIORS,
CORINTHIANS,,versus,,FLAMENGO,
CORINTHIANS,,versus,,NACIONAL-PAR,
CORINTHIANS,,versus,,FORTALEZA,
CORINTHIANS,,versus,,AMÉRICA-RN,
CORINTHIANS,,versus,,FLUMINENSE,
CORINTHIANS,,versus,,ARGENTINOS JUNIORS,
CORINTHIANS,,versus,,RED BULL BRAGANTINO,
CORINTHIANS,,versus,,JUVENTUDE,
CORINTHIANS,,versus,,ATLÉTICO-MG,
CORINTHIANS,,versus,,NACIONAL-PAR,
CORINTHIANS,,versus,,RACING,
CORINTHIANS,,versus,,LONDRINA,
CORINTHIANS,,versus,,SÃO BERNARDO FC,
CORINTHIANS,,versus,,ÁGUA SANTA,
CORINTHIANS,,versus,,SANTO ANDRÉ,
CORINTHIANS,,versus,,PONTE PRETA,
CORINTHIANS,,versus,,CIANORTE,
CORINTHIANS,,versus,,PALMEIRAS,
CORINTHIANS,,versus,,BOTAFOGO-SP,
CORINTHIANS,,versus,,PORTUGUESA,
CORINTHIANS,,versus,,SANTOS,
CORINTHIANS,,versus,,NOVORIZONTINO,
CORINTHIANS,,versus,,SÃO PAULO,
CORINTHIANS,,versus,,SÃO BERNARDO FC,
CORINTHIANS,,versus,,ITUANO,
CORINTHIANS,,versus,,GUARANI,
CORINTHIANS,,versus,,CORITIBA,
CORINTHIANS,,versus,,INTERNACIONAL,
CORINTHIANS,,versus,,VASCO DA GAMA,
CORINTHIANS,,versus,,BAHIA,
CORINTHIANS,,versus,,GRÊMIO,
CORINTHIANS,,versus,,ATLÉTICO-MG,
CORINTHIANS,,versus,,RED BULL BRAGANTINO,
CORINTHIANS,,versus,,ATHLETICO-PR,
CORINTHIANS,,versus,,SANTOS,
CORINTHIANS,,versus,,CUIABÁ,
CORINTHIANS,,versus,,AMÉRICA-MG,
CORINTHIANS,,versus,,FLUMINENSE,
CORINTHIANS,,versus,,FLAMENGO,
CORINTHIANS,,versus,,FORTALEZA,
CORINTHIANS,,versus,,SÃO PAULO,
CORINTHIANS,,versus,,FORTALEZA,
CORINTHIANS,,versus,,BOTAFOGO,
CORINTHIANS,,versus,,GRÊMIO,
CORINTHIANS,,versus,,FORTALEZA,
CORINTHIANS,,versus,,PALMEIRAS,
CORINTHIANS,,versus,,ESTUDIANTES,
CORINTHIANS,,versus,,GOIÁS,
CORINTHIANS,,versus,,ESTUDIANTES,
CORINTHIANS,,versus,,CRUZEIRO,
CORINTHIANS,,versus,,SÃO PAULO,
CORINTHIANS,,versus,,CORITIBA,
CORINTHIANS,,versus,,NEWELLS OLD BOYS,
CORINTHIANS,,versus,,INTERNACIONAL,
CORINTHIANS,,versus,,NEWELLS OLD BOYS,
CORINTHIANS,,versus,,VASCO DA GAMA,
CORINTHIANS,,versus,,SÃO PAULO,
CORINTHIANS,,versus,,BAHIA,
CORINTHIANS,,versus,,UNIVERSITARIO DE DEPORTES,
CORINTHIANS,,versus,,AMÉRICA-MG,
CORINTHIANS,,versus,,UNIVERSITARIO DE DEPORTES,
CORINTHIANS,,versus,,ATLÉTICO-MG,
CORINTHIANS,,versus,,AMÉRICA-MG,
CORINTHIANS,,versus,,RED BULL BRAGANTINO,
CORINTHIANS,,versus,,LIVERPOOL,
CORINTHIANS,,versus,,ATHLETICO-PR,
CORINTHIANS,,versus,,SANTOS,
CORINTHIANS,,versus,,CUIABÁ,
CORINTHIANS,,versus,,INDEPENDIENTE DEL VALLE,
CORINTHIANS,,versus,,AMÉRICA-MG,
CORINTHIANS,,versus,,ATLÉTICO-MG,
CORINTHIANS,,versus,,FLUMINENSE,
CORINTHIANS,,versus,,ARGENTINOS JUNIORS,
CORINTHIANS,,versus,,FLAMENGO,
CORINTHIANS,,versus,,ATLÉTICO-MG,
CORINTHIANS,,versus,,SÃO PAULO,
CORINTHIANS,,versus,,BOTAFOGO,
CORINTHIANS,,versus,,FORTALEZA,
CORINTHIANS,,versus,,INDEPENDIENTE DEL VALLE,
CORINTHIANS,,versus,,PALMEIRAS,
CORINTHIANS,,versus,,REMO,
CORINTHIANS,,versus,,GOIÁS,
CORINTHIANS,,versus,,ARGENTINOS JUNIORS,
CORINTHIANS,,versus,,CRUZEIRO,
CORINTHIANS,,versus,,REMO,
CORINTHIANS,,versus,,LIVERPOOL,
CORINTHIANS,,versus,,ITUANO,
CORINTHIANS,,versus,,SANTO ANDRÉ,
CORINTHIANS,,versus,,SANTOS,
CORINTHIANS,,versus,,MIRASSOL,
CORINTHIANS,,versus,,PALMEIRAS,
CORINTHIANS,,versus,,PORTUGUESA,
CORINTHIANS,,versus,,SÃO BERNARDO FC,
CORINTHIANS,,versus,,BOTAFOGO-SP,
CORINTHIANS,,versus,,SÃO PAULO,
CORINTHIANS,,versus,,GUARANI,
CORINTHIANS,,versus,,INTER DE LIMEIRA,
CORINTHIANS,,versus,,ÁGUA SANTA,
CORINTHIANS,,versus,,RED BULL BRAGANTINO,
CORINTHIANS,,versus,,ATLÉTICO-MG,
CORINTHIANS,,versus,,CORITIBA,
CORINTHIANS,,versus,,CEARÁ,
CORINTHIANS,,versus,,FLAMENGO,
CORINTHIANS,,versus,,GOIÁS,
CORINTHIANS,,versus,,FLUMINENSE,
CORINTHIANS,,versus,,SANTOS,
CORINTHIANS,,versus,,FLAMENGO,
CORINTHIANS,,versus,,FLAMENGO,
CORINTHIANS,,versus,,ATHLETICO-PR,
CORINTHIANS,,versus,,JUVENTUDE,
CORINTHIANS,,versus,,CUIABÁ,
CORINTHIANS,,versus,,ATLÉTICO-GO,
CORINTHIANS,,versus,,AMÉRICA-MG,
CORINTHIANS,,versus,,FLUMINENSE,
CORINTHIANS,,versus,,SÃO PAULO,
CORINTHIANS,,versus,,INTERNACIONAL,
CORINTHIANS,,versus,,RED BULL BRAGANTINO,
CORINTHIANS,,versus,,FLUMINENSE,
CORINTHIANS,,versus,,FORTALEZA,
CORINTHIANS,,versus,,ATLÉTICO-GO,
CORINTHIANS,,versus,,PALMEIRAS,
CORINTHIANS,,versus,,FLAMENGO,
CORINTHIANS,,versus,,AVAÍ,
CORINTHIANS,,versus,,FLAMENGO,
CORINTHIANS,,versus,,BOTAFOGO,
CORINTHIANS,,versus,,ATLÉTICO-GO,
CORINTHIANS,,versus,,ATLÉTICO-MG,
CORINTHIANS,,versus,,CORITIBA,
CORINTHIANS,,versus,,CEARÁ,
CORINTHIANS,,versus,,SANTOS,
CORINTHIANS,,versus,,FLAMENGO,
CORINTHIANS,,versus,,BOCA JUNIORS,
CORINTHIANS,,versus,,FLUMINENSE,
CORINTHIANS,,versus,,BOCA JUNIORS,
CORINTHIANS,,versus,,SANTOS,
CORINTHIANS,,versus,,SANTOS,
CORINTHIANS,,versus,,GOIÁS,
CORINTHIANS,,versus,,ATHLETICO-PR,
CORINTHIANS,,versus,,JUVENTUDE,
CORINTHIANS,,versus,,CUIABÁ,
CORINTHIANS,,versus,,ATLÉTICO-GO,
CORINTHIANS,,versus,,AMÉRICA-MG,
CORINTHIANS,,versus,,ALWAYS READY,
CORINTHIANS,,versus,,SÃO PAULO,
CORINTHIANS,,versus,,BOCA JUNIORS,
CORINTHIANS,,versus,,INTERNACIONAL,
CORINTHIANS,,versus,,PORTUGUESA-RJ,
CORINTHIANS,,versus,,RED BULL BRAGANTINO,
